6300.309   X   0.    150. 80.  80. 150.   6100. 6500.
6363.783   X   0.    260 150.  35.  80.   6100. 6500.
6863.971   X   0.    200  50. 200. 280.   6700. 7220.
7316.290   X   0.    190  90. 290. 380.   7100. 7700. 
#7794.121   X   0.    175  95. 285. 385.   7600. 8200. 
#7964.654   X   0.    350 280. 120. 220.   7600. 8200.
8399.167   X   0.    230 130. 310. 350.   8110. 8760. 
#8430.147   X   0.    260 160. 275. 315.   8110. 8760.
8827.112   X   0.    110  80.  30. 250.   8700. 9200.
8919.637   X   0.    215 170.  50. 250.   8700. 9200.
8958.103   X   0.    255 210.  50. 250.   8700. 9200.
